               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.014436,           0.0086281,           0.0072977,             0.97645,             0.95106,              0.9703,              0.8829,           0.0048431,           0.0025634,          0.00065694,           0.0096733,           0.0096733,           0.0096733
                  35,            0.014776,           0.0085565,           0.0063698,             0.97295,             0.95384,             0.97141,             0.89161,           0.0049374,           0.0024926,           0.0006749,           0.0096634,           0.0096634,           0.0096634
                  36,            0.013979,           0.0083684,           0.0059905,             0.98075,             0.95966,             0.97324,             0.89586,           0.0044925,           0.0024479,          0.00041989,           0.0096535,           0.0096535,           0.0096535
                  37,            0.013779,           0.0085515,           0.0062483,             0.97593,             0.95705,             0.97111,             0.89316,           0.0046925,            0.002494,          0.00065745,           0.0096436,           0.0096436,           0.0096436
                  38,            0.013421,           0.0082514,           0.0059828,             0.98515,             0.95728,             0.97314,             0.89158,           0.0045081,            0.002479,          0.00044959,           0.0096337,           0.0096337,           0.0096337
                  39,             0.01417,            0.008206,           0.0065877,             0.97684,             0.95976,              0.9719,             0.89497,           0.0043006,           0.0024192,          0.00048444,           0.0096238,           0.0096238,           0.0096238
                  40,             0.01411,           0.0084869,           0.0066298,             0.97857,              0.9568,             0.97203,             0.89652,           0.0043317,           0.0024298,          0.00058118,           0.0096139,           0.0096139,           0.0096139
                  41,            0.014244,           0.0083964,           0.0062906,             0.98153,             0.95734,             0.97215,              0.8966,           0.0043117,           0.0024382,          0.00048663,            0.009604,            0.009604,            0.009604
                  42,            0.013461,           0.0083545,           0.0053875,             0.98858,             0.96043,             0.97256,             0.89615,           0.0045377,            0.002447,          0.00058246,           0.0095941,           0.0095941,           0.0095941
                  43,            0.014728,            0.008738,           0.0078482,             0.97845,             0.95744,             0.97268,              0.8973,           0.0045273,           0.0024891,          0.00048415,           0.0095842,           0.0095842,           0.0095842
                  44,            0.013213,            0.008353,            0.006761,             0.97553,             0.95643,             0.97309,             0.89654,           0.0046719,           0.0024633,          0.00043913,           0.0095743,           0.0095743,           0.0095743
                  45,            0.014025,           0.0085076,           0.0063521,             0.97739,              0.9635,              0.9726,              0.9008,           0.0039763,            0.002391,          0.00046276,           0.0095644,           0.0095644,           0.0095644
                  46,            0.015358,           0.0088588,           0.0083544,             0.98284,             0.95821,             0.97275,             0.89718,           0.0047009,           0.0024056,          0.00042932,           0.0095545,           0.0095545,           0.0095545
                  47,            0.012919,           0.0082222,           0.0062506,              0.9803,             0.95725,             0.97258,             0.90102,           0.0045671,           0.0024112,          0.00038243,           0.0095446,           0.0095446,           0.0095446
                  48,            0.014187,           0.0084522,            0.006417,             0.98281,             0.96427,             0.97277,             0.90092,           0.0045297,           0.0023821,          0.00033985,           0.0095347,           0.0095347,           0.0095347
                  49,            0.013125,            0.008275,           0.0056404,             0.97851,             0.96369,             0.97331,             0.90192,           0.0044705,           0.0023855,           0.0004534,           0.0095248,           0.0095248,           0.0095248
                  50,            0.012902,           0.0081363,            0.006507,             0.98643,             0.95804,             0.97324,             0.90605,           0.0043804,           0.0023386,          0.00042934,           0.0095149,           0.0095149,           0.0095149
                  51,            0.013657,           0.0082271,           0.0057697,             0.98159,             0.96493,              0.9718,             0.90772,           0.0042725,           0.0023372,          0.00035719,            0.009505,            0.009505,            0.009505
                  52,            0.013419,           0.0081474,           0.0052155,             0.98467,             0.96615,              0.9733,             0.90526,            0.004326,            0.002335,          0.00029519,           0.0094951,           0.0094951,           0.0094951
                  53,            0.013307,           0.0081306,           0.0053961,             0.98609,             0.96268,             0.97305,             0.90541,           0.0041946,           0.0023284,          0.00032566,           0.0094852,           0.0094852,           0.0094852
                  54,             0.01297,           0.0079837,           0.0055251,             0.98322,             0.96213,              0.9726,             0.90365,           0.0042762,           0.0023754,          0.00032297,           0.0094753,           0.0094753,           0.0094753
                  55,            0.012808,           0.0082555,           0.0052721,             0.98493,             0.96557,             0.97337,             0.90418,           0.0042632,           0.0023343,          0.00023783,           0.0094654,           0.0094654,           0.0094654
                  56,            0.013764,           0.0082683,           0.0056593,             0.98515,             0.96349,              0.9718,             0.90839,           0.0041964,           0.0023291,          0.00029189,           0.0094555,           0.0094555,           0.0094555
                  57,            0.013583,           0.0082905,           0.0056165,             0.98363,             0.96042,              0.9738,             0.90535,           0.0043712,           0.0023365,          0.00034649,           0.0094456,           0.0094456,           0.0094456
                  58,            0.013581,           0.0081542,           0.0060353,             0.98152,             0.96174,             0.97231,              0.9055,           0.0043878,           0.0023563,           0.0003254,           0.0094357,           0.0094357,           0.0094357
                  59,            0.013154,           0.0081255,           0.0058508,             0.98569,             0.96513,             0.97377,             0.90905,           0.0041522,           0.0023422,          0.00022993,           0.0094258,           0.0094258,           0.0094258
                  60,            0.012687,           0.0080811,           0.0053611,             0.98293,             0.96454,             0.97119,             0.90812,            0.004043,           0.0023296,          0.00026917,           0.0094159,           0.0094159,           0.0094159
                  61,            0.012939,           0.0080762,           0.0052046,             0.98763,             0.96576,             0.97329,             0.91048,             0.00403,           0.0023104,          0.00019612,            0.009406,            0.009406,            0.009406
                  62,            0.013291,           0.0080821,           0.0056437,              0.9863,             0.96314,             0.97311,             0.91102,           0.0040773,           0.0022763,          0.00033389,           0.0093961,           0.0093961,           0.0093961
                  63,             0.01326,           0.0080708,           0.0054204,             0.98877,             0.96305,             0.97138,              0.9093,           0.0042496,           0.0022923,          0.00027472,           0.0093862,           0.0093862,           0.0093862
                  64,            0.013006,           0.0081279,           0.0053575,             0.98762,             0.96583,             0.97311,             0.90636,           0.0044263,           0.0022854,          0.00029049,           0.0093763,           0.0093763,           0.0093763
                  65,            0.013996,           0.0079989,           0.0052934,             0.99117,              0.9659,             0.97376,              0.9121,           0.0040358,           0.0022724,          0.00021069,           0.0093664,           0.0093664,           0.0093664
                  66,            0.013023,           0.0080016,           0.0049884,             0.99025,             0.96758,             0.97367,             0.91393,           0.0039273,            0.002234,          0.00022361,           0.0093565,           0.0093565,           0.0093565
                  67,            0.012125,           0.0079874,           0.0052013,             0.98947,             0.96394,             0.97331,             0.91274,           0.0040842,           0.0022683,          0.00023678,           0.0093466,           0.0093466,           0.0093466
                  68,            0.013276,           0.0082332,           0.0052329,             0.98891,             0.96785,             0.97398,             0.91206,           0.0039877,           0.0022804,          0.00020824,           0.0093367,           0.0093367,           0.0093367
                  69,            0.012757,           0.0079073,           0.0054736,              0.9914,              0.9642,             0.97378,             0.91277,           0.0040827,           0.0022673,          0.00018752,           0.0093268,           0.0093268,           0.0093268
                  70,            0.012854,           0.0079777,           0.0052347,             0.98859,             0.96567,             0.97381,             0.91251,           0.0040958,           0.0022502,          0.00020825,           0.0093169,           0.0093169,           0.0093169
                  71,            0.012682,           0.0079841,           0.0057047,             0.98933,             0.96276,             0.97379,             0.91363,           0.0042373,           0.0022757,          0.00024429,            0.009307,            0.009307,            0.009307
                  72,            0.013059,           0.0079732,           0.0066134,             0.98582,             0.96372,             0.97314,             0.90942,           0.0041091,           0.0023192,           0.0002451,           0.0092971,           0.0092971,           0.0092971
                  73,            0.012837,           0.0080161,           0.0054343,             0.98539,             0.96395,             0.97352,             0.91284,           0.0038837,           0.0022757,          0.00026848,           0.0092872,           0.0092872,           0.0092872
                  74,            0.013273,           0.0081405,           0.0055103,             0.98866,             0.96458,             0.97295,             0.91074,           0.0040271,           0.0022756,          0.00023746,           0.0092773,           0.0092773,           0.0092773
                  75,            0.013045,           0.0083302,           0.0051686,             0.98869,             0.96374,              0.9735,             0.91147,           0.0039669,           0.0022885,          0.00019886,           0.0092674,           0.0092674,           0.0092674
                  76,            0.012969,            0.008113,           0.0052365,             0.98906,             0.96552,             0.97371,             0.91463,           0.0039627,             0.00224,          0.00024829,           0.0092575,           0.0092575,           0.0092575
                  77,             0.01307,            0.008004,           0.0053203,             0.98818,             0.96646,             0.97381,             0.91286,           0.0041116,           0.0022415,          0.00022683,           0.0092476,           0.0092476,           0.0092476
                  78,            0.012726,           0.0079656,           0.0053283,             0.98667,             0.96555,             0.97381,             0.91242,           0.0038864,           0.0022414,          0.00023906,           0.0092377,           0.0092377,           0.0092377
                  79,            0.012915,           0.0079044,           0.0050362,              0.9846,             0.96688,             0.97387,             0.91241,           0.0040974,            0.002251,          0.00022142,           0.0092278,           0.0092278,           0.0092278
                  80,            0.012802,           0.0078397,           0.0048038,              0.9845,             0.96585,             0.97403,             0.91502,           0.0040268,           0.0022485,          0.00023527,           0.0092179,           0.0092179,           0.0092179
                  81,            0.012357,           0.0077702,           0.0045857,             0.98626,             0.96462,             0.97377,             0.91481,           0.0040929,           0.0022371,          0.00021471,            0.009208,            0.009208,            0.009208
                  82,            0.012116,           0.0078845,           0.0050712,             0.98565,             0.96723,             0.97397,             0.91602,           0.0039834,           0.0022221,          0.00019109,           0.0091981,           0.0091981,           0.0091981
                  83,            0.012585,           0.0079293,           0.0053615,             0.98652,             0.96739,             0.97375,             0.91489,           0.0038763,           0.0022284,          0.00019399,           0.0091882,           0.0091882,           0.0091882
                  84,            0.013223,           0.0080969,           0.0061911,             0.98582,             0.96718,              0.9739,             0.91466,           0.0039158,           0.0022309,          0.00021326,           0.0091783,           0.0091783,           0.0091783
                  85,            0.012557,           0.0079727,            0.005457,             0.98685,             0.96615,             0.97358,             0.91588,           0.0040251,             0.00223,          0.00025604,           0.0091684,           0.0091684,           0.0091684
                  86,            0.012918,           0.0081608,           0.0058404,             0.98683,             0.96491,             0.97345,             0.91553,            0.003993,           0.0022323,          0.00024995,           0.0091585,           0.0091585,           0.0091585
                  87,            0.013169,           0.0084466,           0.0063494,             0.98307,             0.96521,             0.97362,             0.91353,           0.0039307,           0.0022352,          0.00029235,           0.0091486,           0.0091486,           0.0091486
                  88,            0.012578,           0.0079469,           0.0056516,             0.98433,             0.96677,             0.97351,             0.91186,           0.0038993,           0.0022386,          0.00022933,           0.0091387,           0.0091387,           0.0091387
                  89,            0.012186,           0.0079255,           0.0049024,             0.99077,              0.9625,              0.9735,             0.91297,           0.0039212,           0.0022294,          0.00023385,           0.0091288,           0.0091288,           0.0091288
                  90,            0.012905,           0.0080417,            0.005565,             0.98591,             0.96785,             0.97358,             0.91366,           0.0037996,           0.0022254,          0.00020571,           0.0091189,           0.0091189,           0.0091189
                  91,            0.013161,           0.0080314,           0.0055449,             0.98924,             0.96352,             0.97348,             0.91448,           0.0038142,            0.002213,          0.00019718,            0.009109,            0.009109,            0.009109
                  92,            0.012886,           0.0080432,           0.0053202,             0.98909,             0.96399,             0.97357,             0.91572,           0.0038851,           0.0022157,          0.00020385,           0.0090991,           0.0090991,           0.0090991
                  93,            0.012628,            0.008084,           0.0054217,              0.9878,             0.96448,             0.97351,             0.91469,           0.0038934,           0.0022039,          0.00021289,           0.0090892,           0.0090892,           0.0090892
                  94,            0.012042,           0.0080299,           0.0059158,             0.99003,             0.96579,             0.97382,             0.91451,           0.0039418,           0.0021844,          0.00021239,           0.0090793,           0.0090793,           0.0090793
                  95,            0.012094,            0.007921,           0.0057035,             0.98907,             0.96733,             0.97377,             0.91556,           0.0039283,           0.0021854,          0.00025333,           0.0090694,           0.0090694,           0.0090694
                  96,            0.012223,            0.007751,           0.0051533,             0.98959,             0.96578,             0.97386,             0.91589,           0.0038467,           0.0021829,          0.00024466,           0.0090595,           0.0090595,           0.0090595
                  97,            0.012642,           0.0078601,           0.0050404,             0.99028,             0.96608,               0.974,             0.91768,           0.0037808,           0.0021799,          0.00023009,           0.0090496,           0.0090496,           0.0090496
                  98,            0.012215,           0.0078493,           0.0054262,             0.99123,             0.96565,             0.97484,              0.9186,            0.003674,            0.002181,          0.00020982,           0.0090397,           0.0090397,           0.0090397
                  99,            0.012168,           0.0077836,           0.0043497,             0.99118,              0.9668,             0.97396,             0.91746,            0.003597,           0.0021758,           0.0001925,           0.0090298,           0.0090298,           0.0090298
                 100,            0.011572,           0.0074292,           0.0044509,             0.99076,             0.96643,             0.97385,             0.91717,            0.003601,           0.0021818,          0.00017511,           0.0090199,           0.0090199,           0.0090199
                 101,            0.012138,           0.0078583,           0.0051209,             0.99187,             0.96501,             0.97385,             0.91757,           0.0036599,           0.0021815,          0.00016834,             0.00901,             0.00901,             0.00901
                 102,            0.012497,           0.0078633,           0.0049921,             0.99111,             0.96476,             0.97389,             0.91824,           0.0036511,            0.002169,          0.00017796,           0.0090001,           0.0090001,           0.0090001
                 103,            0.012433,           0.0078943,            0.005075,             0.98857,              0.9658,             0.97386,             0.91754,           0.0037187,           0.0021633,          0.00018579,           0.0089902,           0.0089902,           0.0089902
                 104,            0.012714,           0.0077838,           0.0045093,              0.9871,             0.96692,             0.97396,             0.91798,           0.0037096,            0.002161,          0.00017632,           0.0089803,           0.0089803,           0.0089803
                 105,            0.012882,           0.0079056,           0.0048984,             0.98625,             0.96713,             0.97385,             0.91742,           0.0037087,             0.00216,          0.00017371,           0.0089704,           0.0089704,           0.0089704
                 106,            0.011984,           0.0076888,           0.0046512,             0.98636,             0.96789,             0.97393,             0.91814,           0.0036906,            0.002156,          0.00016828,           0.0089605,           0.0089605,           0.0089605
                 107,            0.012371,           0.0078651,           0.0055806,             0.98722,             0.96842,             0.97409,              0.9186,           0.0037156,             0.00216,          0.00015831,           0.0089506,           0.0089506,           0.0089506
                 108,            0.012116,           0.0077999,           0.0053698,             0.98643,             0.96859,             0.97402,             0.91793,           0.0037162,           0.0021707,          0.00015972,           0.0089407,           0.0089407,           0.0089407
                 109,             0.01248,           0.0079818,           0.0052681,             0.99086,             0.96371,             0.97404,             0.91871,           0.0036777,           0.0021785,          0.00016755,           0.0089308,           0.0089308,           0.0089308
                 110,            0.012748,           0.0078168,           0.0044699,             0.99004,             0.96365,             0.97408,             0.91893,            0.003639,            0.002183,          0.00016989,           0.0089209,           0.0089209,           0.0089209
                 111,             0.01265,           0.0076491,           0.0055105,             0.98832,              0.9648,             0.97399,             0.91884,           0.0036337,           0.0021801,          0.00017374,            0.008911,            0.008911,            0.008911
                 112,            0.012562,           0.0081004,           0.0048865,             0.98767,             0.96304,             0.97401,             0.91849,            0.003597,            0.002183,          0.00018833,           0.0089011,           0.0089011,           0.0089011
                 113,            0.012323,           0.0077126,           0.0049686,             0.98495,             0.96595,             0.97403,             0.91788,           0.0036172,           0.0021792,          0.00019786,           0.0088912,           0.0088912,           0.0088912
                 114,            0.012215,           0.0079145,           0.0054387,             0.98692,             0.96601,             0.97394,             0.91781,           0.0036477,           0.0021793,          0.00018886,           0.0088813,           0.0088813,           0.0088813
                 115,            0.011848,           0.0076659,           0.0043882,             0.98758,             0.96536,             0.97421,              0.9184,           0.0036441,           0.0021744,          0.00018223,           0.0088714,           0.0088714,           0.0088714
                 116,            0.012156,           0.0078042,           0.0046684,             0.98812,               0.966,             0.97411,             0.91903,           0.0036398,           0.0021711,          0.00018205,           0.0088615,           0.0088615,           0.0088615
                 117,            0.011763,           0.0077691,           0.0047679,             0.98785,             0.96649,              0.9741,             0.91862,           0.0036445,           0.0021648,          0.00018866,           0.0088516,           0.0088516,           0.0088516
                 118,            0.012316,           0.0077386,           0.0049623,             0.98729,             0.96638,               0.974,             0.91865,           0.0036139,           0.0021581,           0.0001895,           0.0088417,           0.0088417,           0.0088417
                 119,            0.011857,           0.0076648,           0.0044622,             0.98647,             0.96708,             0.97404,             0.91929,           0.0036006,           0.0021558,          0.00018588,           0.0088318,           0.0088318,           0.0088318
                 120,             0.01235,           0.0077327,           0.0049543,             0.98665,             0.96842,             0.97386,             0.91948,           0.0035965,           0.0021522,          0.00018286,           0.0088219,           0.0088219,           0.0088219
                 121,            0.012055,           0.0077998,             0.00516,             0.98617,             0.96839,             0.97388,             0.91969,           0.0035995,           0.0021531,          0.00018965,            0.008812,            0.008812,            0.008812
                 122,            0.012563,            0.007746,           0.0045186,              0.9866,             0.96856,             0.97529,             0.91957,           0.0036057,           0.0021558,          0.00019351,           0.0088021,           0.0088021,           0.0088021
                 123,            0.011693,           0.0076396,           0.0049604,             0.98658,             0.96824,             0.97541,              0.9199,            0.003598,           0.0021549,          0.00018968,           0.0087922,           0.0087922,           0.0087922
                 124,            0.011985,           0.0077426,           0.0039808,             0.98657,             0.96741,              0.9741,             0.91997,           0.0035899,           0.0021535,          0.00019623,           0.0087823,           0.0087823,           0.0087823
                 125,            0.012292,           0.0077235,           0.0048582,             0.98657,             0.96765,             0.97397,              0.9206,            0.003571,           0.0021514,          0.00020066,           0.0087724,           0.0087724,           0.0087724
                 126,            0.012076,            0.007709,           0.0047598,             0.98797,             0.96506,             0.97379,             0.92035,           0.0035677,           0.0021477,          0.00021143,           0.0087625,           0.0087625,           0.0087625
                 127,            0.011953,           0.0075336,           0.0042141,             0.98824,             0.96504,             0.97376,             0.92034,           0.0035533,           0.0021427,          0.00021384,           0.0087526,           0.0087526,           0.0087526
                 128,            0.012351,           0.0076225,             0.00408,             0.98995,             0.96453,             0.97379,             0.92059,             0.00356,           0.0021394,          0.00021363,           0.0087427,           0.0087427,           0.0087427
                 129,            0.011696,           0.0075699,           0.0043636,             0.98784,             0.96669,             0.97382,             0.92114,           0.0035547,           0.0021372,          0.00021195,           0.0087328,           0.0087328,           0.0087328
                 130,            0.011926,           0.0077322,           0.0040555,             0.98773,             0.96627,             0.97376,              0.9214,           0.0035432,            0.002137,          0.00020911,           0.0087229,           0.0087229,           0.0087229
                 131,            0.012226,           0.0077212,            0.004793,             0.98788,              0.9668,             0.97379,             0.92058,           0.0035393,           0.0021352,          0.00020424,            0.008713,            0.008713,            0.008713
                 132,            0.012056,           0.0077431,           0.0049109,             0.98791,             0.96679,             0.97372,             0.92079,           0.0035416,           0.0021332,           0.0001988,           0.0087031,           0.0087031,           0.0087031
                 133,            0.011267,           0.0076387,           0.0039761,             0.98735,             0.96735,             0.97386,             0.92073,           0.0035488,           0.0021299,          0.00019703,           0.0086932,           0.0086932,           0.0086932
                 134,            0.012097,           0.0076912,           0.0049838,             0.98808,             0.96702,             0.97379,             0.92033,           0.0035593,           0.0021291,          0.00019424,           0.0086833,           0.0086833,           0.0086833
                 135,            0.011795,           0.0077291,           0.0045321,             0.98793,             0.96669,             0.97383,             0.92052,           0.0035601,           0.0021295,           0.0001915,           0.0086734,           0.0086734,           0.0086734
                 136,            0.011323,           0.0076311,           0.0043412,             0.98922,             0.96656,             0.97384,             0.92068,           0.0035745,           0.0021292,          0.00019179,           0.0086635,           0.0086635,           0.0086635
                 137,            0.012203,           0.0078173,           0.0043093,             0.98864,             0.96673,             0.97384,             0.92075,           0.0035736,           0.0021288,          0.00019124,           0.0086536,           0.0086536,           0.0086536
                 138,            0.012397,           0.0080394,           0.0056537,             0.98729,             0.96889,             0.97378,             0.92109,           0.0035746,           0.0021299,          0.00019322,           0.0086437,           0.0086437,           0.0086437
                 139,            0.012373,            0.007803,           0.0049152,             0.98854,             0.96679,             0.97377,             0.92126,            0.003569,           0.0021307,          0.00019361,           0.0086338,           0.0086338,           0.0086338
                 140,            0.011837,           0.0076841,           0.0048329,             0.98856,             0.96676,             0.97367,             0.92043,           0.0035575,           0.0021306,          0.00019626,           0.0086239,           0.0086239,           0.0086239
                 141,            0.011711,           0.0076642,           0.0041355,             0.98837,             0.96758,             0.97371,             0.92108,           0.0035561,           0.0021316,          0.00019412,            0.008614,            0.008614,            0.008614
                 142,            0.011385,           0.0075731,           0.0047229,             0.98909,             0.96708,             0.97373,             0.92102,           0.0035569,           0.0021314,          0.00019068,           0.0086041,           0.0086041,           0.0086041
                 143,            0.012473,           0.0077635,            0.004477,             0.98932,              0.9674,              0.9737,             0.92099,           0.0035591,           0.0021309,          0.00018706,           0.0085942,           0.0085942,           0.0085942
                 144,            0.012206,           0.0076108,           0.0042696,             0.98931,             0.96779,             0.97367,             0.92079,           0.0035552,           0.0021307,          0.00018154,           0.0085843,           0.0085843,           0.0085843
                 145,            0.012094,           0.0076521,           0.0042991,              0.9897,              0.9671,             0.97369,             0.92078,           0.0035602,            0.002131,          0.00017971,           0.0085744,           0.0085744,           0.0085744
                 146,            0.012529,           0.0076276,           0.0044358,             0.98965,             0.96664,             0.97369,             0.92087,           0.0035533,            0.002132,          0.00017807,           0.0085645,           0.0085645,           0.0085645
                 147,            0.011921,           0.0077736,           0.0044017,             0.98947,             0.96654,             0.97369,             0.92115,           0.0035502,           0.0021325,          0.00017836,           0.0085546,           0.0085546,           0.0085546
                 148,            0.011706,           0.0076661,           0.0045747,             0.98959,             0.96644,             0.97363,             0.92099,            0.003539,           0.0021339,          0.00017802,           0.0085447,           0.0085447,           0.0085447
                 149,            0.011915,           0.0079667,            0.005558,             0.98951,             0.96641,             0.97361,             0.92103,           0.0035272,           0.0021341,          0.00017619,           0.0085348,           0.0085348,           0.0085348
                 150,            0.011535,           0.0077643,           0.0046607,             0.98931,             0.96648,             0.97361,              0.9213,           0.0035196,           0.0021329,          0.00017514,           0.0085249,           0.0085249,           0.0085249
                 151,            0.011602,           0.0077836,           0.0045319,             0.98929,             0.96671,             0.97365,             0.92121,           0.0035185,           0.0021331,          0.00017834,            0.008515,            0.008515,            0.008515
                 152,            0.011915,             0.00756,           0.0040683,             0.98929,             0.96674,             0.97362,             0.92057,           0.0035249,           0.0021326,           0.0001791,           0.0085051,           0.0085051,           0.0085051
                 153,             0.01199,           0.0076712,           0.0043188,              0.9893,             0.96671,             0.97368,             0.92103,           0.0035288,           0.0021319,          0.00018118,           0.0084952,           0.0084952,           0.0084952
