               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.015729,           0.0099007,           0.0080601,             0.92614,             0.93294,             0.96061,             0.79929,           0.0064327,           0.0033726,           0.0017566,           0.0096733,           0.0096733,           0.0096733
                  35,            0.015655,           0.0097984,           0.0075058,             0.93112,             0.94112,             0.96156,             0.80619,           0.0063299,           0.0033434,            0.001324,           0.0096634,           0.0096634,           0.0096634
                  36,             0.01508,            0.009782,            0.007569,             0.94099,             0.94465,             0.96237,             0.80748,           0.0063681,           0.0033619,           0.0013615,           0.0096535,           0.0096535,           0.0096535
                  37,              0.0151,           0.0099293,           0.0076428,             0.93871,             0.93716,             0.96256,             0.80439,           0.0062542,           0.0033925,           0.0017368,           0.0096436,           0.0096436,           0.0096436
                  38,            0.014823,           0.0097026,           0.0077657,             0.92984,             0.94632,             0.96169,               0.807,           0.0063567,           0.0033016,            0.001203,           0.0096337,           0.0096337,           0.0096337
                  39,            0.015642,           0.0096742,           0.0081433,              0.9234,             0.91963,             0.95462,             0.79826,           0.0063516,           0.0033372,           0.0016723,           0.0096238,           0.0096238,           0.0096238
                  40,            0.015385,           0.0097513,            0.007857,             0.93315,             0.93876,             0.96093,             0.80697,           0.0062978,           0.0033601,           0.0014009,           0.0096139,           0.0096139,           0.0096139
                  41,            0.015498,           0.0097257,           0.0080096,             0.95092,             0.93043,             0.96206,             0.80566,            0.006356,            0.003364,           0.0012856,            0.009604,            0.009604,            0.009604
                  42,            0.015188,           0.0098475,           0.0075036,             0.94184,             0.94414,             0.96377,             0.80668,           0.0065418,           0.0033358,           0.0013128,           0.0095941,           0.0095941,           0.0095941
                  43,            0.016043,           0.0098147,           0.0079287,             0.94198,             0.94672,             0.96427,             0.80631,           0.0063169,           0.0033431,            0.001153,           0.0095842,           0.0095842,           0.0095842
                  44,            0.014531,           0.0095825,           0.0074482,              0.9429,             0.94362,             0.96311,             0.81226,            0.006289,           0.0033109,           0.0010845,           0.0095743,           0.0095743,           0.0095743
                  45,            0.015265,           0.0097175,           0.0074191,              0.9446,              0.9471,             0.96216,              0.8107,            0.006118,              0.0033,           0.0012302,           0.0095644,           0.0095644,           0.0095644
                  46,             0.01609,           0.0098684,           0.0077904,             0.94545,             0.94992,             0.96519,             0.81077,           0.0062132,           0.0033079,           0.0011093,           0.0095545,           0.0095545,           0.0095545
                  47,            0.014004,           0.0095759,           0.0074891,             0.93518,             0.94527,             0.95868,             0.80529,           0.0063036,           0.0032892,            0.001228,           0.0095446,           0.0095446,           0.0095446
                  48,            0.015089,           0.0098283,           0.0078138,             0.93769,             0.95057,             0.96397,             0.81323,           0.0063508,            0.003313,           0.0014749,           0.0095347,           0.0095347,           0.0095347
                  49,            0.014479,           0.0096895,           0.0070091,              0.9361,             0.94981,              0.9651,             0.81467,           0.0062655,           0.0032975,           0.0011113,           0.0095248,           0.0095248,           0.0095248
                  50,            0.014112,           0.0094573,           0.0073407,             0.95732,             0.94345,             0.96671,             0.81497,           0.0062699,           0.0032728,           0.0015301,           0.0095149,           0.0095149,           0.0095149
                  51,            0.015118,            0.009685,           0.0072066,             0.95102,             0.94968,             0.96749,             0.81968,           0.0063059,           0.0032587,           0.0014155,            0.009505,            0.009505,            0.009505
                  52,             0.01456,           0.0096095,           0.0069889,             0.95364,             0.94691,             0.96528,              0.8175,           0.0063058,           0.0032331,           0.0013033,           0.0094951,           0.0094951,           0.0094951
                  53,            0.014487,           0.0095814,           0.0072617,             0.95182,             0.94622,             0.96567,              0.8128,           0.0061266,           0.0032378,           0.0014491,           0.0094852,           0.0094852,           0.0094852
                  54,            0.014191,           0.0094166,           0.0071846,             0.94873,             0.95262,             0.96343,             0.81474,           0.0061501,           0.0032728,          0.00099615,           0.0094753,           0.0094753,           0.0094753
                  55,            0.014496,            0.009702,            0.007169,             0.95749,             0.94174,             0.96639,             0.81717,           0.0059396,           0.0032457,          0.00097429,           0.0094654,           0.0094654,           0.0094654
                  56,            0.014931,           0.0096804,            0.006854,             0.95905,             0.94957,             0.96634,             0.81941,           0.0061351,           0.0032381,           0.0010122,           0.0094555,           0.0094555,           0.0094555
                  57,            0.014671,            0.009717,           0.0065955,              0.9522,             0.95006,             0.96478,             0.81602,           0.0062049,           0.0032231,            0.001151,           0.0094456,           0.0094456,           0.0094456
                  58,              0.0148,           0.0094881,           0.0069553,             0.95667,             0.95072,             0.96532,             0.81542,           0.0061447,           0.0032183,          0.00086123,           0.0094357,           0.0094357,           0.0094357
                  59,            0.014685,           0.0094837,           0.0073309,             0.95312,             0.94935,             0.96582,             0.81936,           0.0062792,           0.0032204,          0.00082194,           0.0094258,           0.0094258,           0.0094258
                  60,            0.014286,           0.0095084,           0.0068913,             0.95345,             0.95493,             0.96804,             0.82081,           0.0059599,           0.0032254,          0.00078563,           0.0094159,           0.0094159,           0.0094159
                  61,            0.014526,           0.0096215,           0.0067004,             0.95355,             0.94571,             0.96501,             0.82024,           0.0057786,           0.0032411,          0.00091245,            0.009406,            0.009406,            0.009406
